,Year,Institution_ID,Source_ID,Variant_Label,Experiment_ID,Annual_Mean_Temp
0,1900,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.46417391035957
1,1901,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.54284272349552
2,1902,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.545304188575967
3,1903,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.418986023579933
4,1904,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.589978516672739
5,1905,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.600977353622014
6,1906,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.54935922609672
7,1907,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.578095890878421
8,1908,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.506470328865367
9,1909,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.653211654384291
10,1910,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.813922543732387
11,1911,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.62623017489418
12,1912,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.593173472422892
13,1913,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.495049892887643
14,1914,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.497010331628253
15,1915,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.469272867221981
16,1916,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.508186387154879
17,1917,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.565769728296246
18,1918,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.543014298442253
19,1919,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.685832065521957
20,1920,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.722986241514969
21,1921,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.6085918806909
22,1922,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.71163084468571
23,1923,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.857128025584728
24,1924,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.783863328372318
25,1925,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.744155197285911
26,1926,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.705338194542307
27,1927,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.723570849539785
28,1928,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.692052342105816
29,1929,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.653759306030858
30,1930,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.720804037305475
31,1931,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.786500147118586
32,1932,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.781351183874293
33,1933,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.648493927044742
34,1934,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.716662751496898
35,1935,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.773766361286652
36,1936,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.676608972571955
37,1937,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.607919135574127
38,1938,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.659138779401623
39,1939,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.600769104033688
40,1940,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.72377027761008
41,1941,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.68863898631677
42,1942,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.55587123428068
43,1943,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.472604025187684
44,1944,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.55188812926263
45,1945,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.53742461293138
46,1946,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.681718556150052
47,1947,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.790529384603225
48,1948,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.638685968518182
49,1949,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.674253213411447
50,1950,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.711843733991794
